company,ticker,cik,filing_type,filing_date,accession_number,source_url,local_raw_path,raw_format,local_markdown_path,human_readable_format,human_readable_warning,local_cleaned_path,raw_length,cleaned_length,warnings,retained_ratio,retained_pct
AMAZON COM INC,AMZN,0001018724,8-K,2026-04-14,0001104659-26-042880,https://www.sec.gov/Archives/edgar/data/1018724/000110465926042880/tm2611746d1_8k.htm,data/raw/amzn/2026-04-14_8-K_000110465926042880.html,html,data/human_readable/amzn/2026-04-14_8-K_000110465926042880.md,markdown,,data/processed/amzn/cleaned_filings/2026-04-14_8-K_000110465926042880.txt,51239,3795,"['large_length_reduction', 'html_tables_flattened_to_text']",0.07406467729659048,7.41
Apple Inc.,AAPL,0000320193,10-K,2025-10-31,0000320193-25-000079,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,data/raw/aapl/2025-10-31_10-K_000032019325000079.html,html,data/human_readable/aapl/2025-10-31_10-K_000032019325000079.md,markdown,,data/processed/aapl/cleaned_filings/2025-10-31_10-K_000032019325000079.txt,1520208,208131,"['large_length_reduction', 'html_tables_flattened_to_text']",0.13690955448201825,13.69
Apple Inc.,AAPL,0000320193,10-Q,2026-05-01,0000320193-26-000013,https://www.sec.gov/Archives/edgar/data/320193/000032019326000013/aapl-20260328.htm,data/raw/aapl/2026-05-01_10-Q_000032019326000013.html,html,data/human_readable/aapl/2026-05-01_10-Q_000032019326000013.md,markdown,,data/processed/aapl/cleaned_filings/2026-05-01_10-Q_000032019326000013.txt,999810,85444,"['large_length_reduction', 'html_tables_flattened_to_text']",0.08546023744511458,8.55
Apple Inc.,AAPL,0000320193,8-K,2026-04-30,0000320193-26-000011,https://www.sec.gov/Archives/edgar/data/320193/000032019326000011/aapl-20260430.htm,data/raw/aapl/2026-04-30_8-K_000032019326000011.html,html,data/human_readable/aapl/2026-04-30_8-K_000032019326000011.md,markdown,,data/processed/aapl/cleaned_filings/2026-04-30_8-K_000032019326000011.txt,37639,3533,"['large_length_reduction', 'html_tables_flattened_to_text']",0.09386540556337841,9.39
Apple Inc.,AAPL,0000320193,8-K,2026-04-20,0001140361-26-015711,https://www.sec.gov/Archives/edgar/data/320193/000114036126015711/ef20071035_8k.htm,data/raw/aapl/2026-04-20_8-K_000114036126015711.html,html,data/human_readable/aapl/2026-04-20_8-K_000114036126015711.md,markdown,,data/processed/aapl/cleaned_filings/2026-04-20_8-K_000114036126015711.txt,38605,4422,"['large_length_reduction', 'html_tables_flattened_to_text', 'no_section_headings_detected']",0.1145447480896257,11.45
Apple Inc.,AAPL,0000320193,8-K,2026-02-24,0001140361-26-006577,https://www.sec.gov/Archives/edgar/data/320193/000114036126006577/ef20060722_8k.htm,data/raw/aapl/2026-02-24_8-K_000114036126006577.html,html,data/human_readable/aapl/2026-02-24_8-K_000114036126006577.md,markdown,,data/processed/aapl/cleaned_filings/2026-02-24_8-K_000114036126006577.txt,73012,5108,"['large_length_reduction', 'html_tables_flattened_to_text', 'no_section_headings_detected']",0.06996110228455596,7.0
Apple Inc.,AAPL,0000320193,8-K,2026-01-29,0000320193-26-000005,https://www.sec.gov/Archives/edgar/data/320193/000032019326000005/aapl-20260129.htm,data/raw/aapl/2026-01-29_8-K_000032019326000005.html,html,data/human_readable/aapl/2026-01-29_8-K_000032019326000005.md,markdown,,data/processed/aapl/cleaned_filings/2026-01-29_8-K_000032019326000005.txt,38421,3546,"['large_length_reduction', 'html_tables_flattened_to_text']",0.09229327711407824,9.23
Apple Inc.,AAPL,0000320193,8-K,2026-01-02,0001140361-26-000199,https://www.sec.gov/Archives/edgar/data/320193/000114036126000199/ef20060722_8k.htm,data/raw/aapl/2026-01-02_8-K_000114036126000199.html,html,data/human_readable/aapl/2026-01-02_8-K_000114036126000199.md,markdown,,data/processed/aapl/cleaned_filings/2026-01-02_8-K_000114036126000199.txt,39520,3652,"['large_length_reduction', 'html_tables_flattened_to_text', 'no_section_headings_detected']",0.0924089068825911,9.24
NETFLIX INC,NFLX,0001065280,10-K,2026-01-23,0001065280-26-000034,https://www.sec.gov/Archives/edgar/data/1065280/000106528026000034/nflx-20251231.htm,data/raw/nflx/2026-01-23_10-K_000106528026000034.html,html,data/human_readable/nflx/2026-01-23_10-K_000106528026000034.md,markdown,,data/processed/nflx/cleaned_filings/2026-01-23_10-K_000106528026000034.txt,2137739,275297,"['large_length_reduction', 'html_tables_flattened_to_text']",0.128779518921627,12.88
NETFLIX INC,NFLX,0001065280,10-Q,2026-04-17,0001065280-26-000138,https://www.sec.gov/Archives/edgar/data/1065280/000106528026000138/nflx-20260331.htm,data/raw/nflx/2026-04-17_10-Q_000106528026000138.html,html,data/human_readable/nflx/2026-04-17_10-Q_000106528026000138.md,markdown,,data/processed/nflx/cleaned_filings/2026-04-17_10-Q_000106528026000138.txt,1231266,97574,"['large_length_reduction', 'html_tables_flattened_to_text']",0.0792468889744377,7.92
NETFLIX INC,NFLX,0001065280,8-K,2026-06-05,0001065280-26-000189,https://www.sec.gov/Archives/edgar/data/1065280/000106528026000189/nflx-20260604.htm,data/raw/nflx/2026-06-05_8-K_000106528026000189.html,html,data/human_readable/nflx/2026-06-05_8-K_000106528026000189.md,markdown,,data/processed/nflx/cleaned_filings/2026-06-05_8-K_000106528026000189.txt,61217,6024,"['large_length_reduction', 'html_tables_flattened_to_text']",0.09840403809399349,9.84
NETFLIX INC,NFLX,0001065280,8-K,2026-04-23,0001065280-26-000139,https://www.sec.gov/Archives/edgar/data/1065280/000106528026000139/nflx-20260422.htm,data/raw/nflx/2026-04-23_8-K_000106528026000139.html,html,data/human_readable/nflx/2026-04-23_8-K_000106528026000139.md,markdown,,data/processed/nflx/cleaned_filings/2026-04-23_8-K_000106528026000139.txt,21279,3706,['html_tables_flattened_to_text'],0.17416231965787865,17.42
NETFLIX INC,NFLX,0001065280,8-K,2026-04-16,0001065280-26-000137,https://www.sec.gov/Archives/edgar/data/1065280/000106528026000137/nflx-20260410.htm,data/raw/nflx/2026-04-16_8-K_000106528026000137.html,html,data/human_readable/nflx/2026-04-16_8-K_000106528026000137.md,markdown,,data/processed/nflx/cleaned_filings/2026-04-16_8-K_000106528026000137.txt,25115,4703,['html_tables_flattened_to_text'],0.1872586103921959,18.73
NETFLIX INC,NFLX,0001065280,8-K,2026-02-27,0001193125-26-082247,https://www.sec.gov/Archives/edgar/data/1065280/000119312526082247/d120618d8k.htm,data/raw/nflx/2026-02-27_8-K_000119312526082247.html,html,data/human_readable/nflx/2026-02-27_8-K_000119312526082247.md,markdown,,data/processed/nflx/cleaned_filings/2026-02-27_8-K_000119312526082247.txt,27406,7097,"['html_tables_flattened_to_text', 'no_section_headings_detected']",0.2589578924323141,25.9
NETFLIX INC,NFLX,0001065280,8-K,2026-01-20,0001065280-26-000033,https://www.sec.gov/Archives/edgar/data/1065280/000106528026000033/nflx-20260120.htm,data/raw/nflx/2026-01-20_8-K_000106528026000033.html,html,data/human_readable/nflx/2026-01-20_8-K_000106528026000033.md,markdown,,data/processed/nflx/cleaned_filings/2026-01-20_8-K_000106528026000033.txt,34946,13174,['html_tables_flattened_to_text'],0.37698162879871805,37.7
Alphabet Inc.,GOOG,0001652044,10-K,2026-02-05,0001652044-26-000018,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,data/raw/goog/2026-02-05_10-K_000165204426000018.html,html,data/human_readable/goog/2026-02-05_10-K_000165204426000018.md,markdown,,data/processed/goog/cleaned_filings/2026-02-05_10-K_000165204426000018.txt,2616499,346887,"['large_length_reduction', 'html_tables_flattened_to_text']",0.1325767753016531,13.26
Alphabet Inc.,GOOG,0001652044,10-Q,2026-04-30,0001652044-26-000048,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm,data/raw/goog/2026-04-30_10-Q_000165204426000048.html,html,data/human_readable/goog/2026-04-30_10-Q_000165204426000048.md,markdown,,data/processed/goog/cleaned_filings/2026-04-30_10-Q_000165204426000048.txt,1714713,153349,"['large_length_reduction', 'html_tables_flattened_to_text']",0.08943129258365685,8.94
Alphabet Inc.,GOOG,0001652044,8-K,2026-06-11,0001193125-26-267578,https://www.sec.gov/Archives/edgar/data/1652044/000119312526267578/d57679d8k.htm,data/raw/goog/2026-06-11_8-K_000119312526267578.html,html,data/human_readable/goog/2026-06-11_8-K_000119312526267578.md,markdown,,data/processed/goog/cleaned_filings/2026-06-11_8-K_000119312526267578.txt,119785,9971,"['large_length_reduction', 'html_tables_flattened_to_text', 'no_section_headings_detected']",0.08324080644488041,8.32
Alphabet Inc.,GOOG,0001652044,8-K,2026-06-05,0001193125-26-259830,https://www.sec.gov/Archives/edgar/data/1652044/000119312526259830/d36818d8k.htm,data/raw/goog/2026-06-05_8-K_000119312526259830.html,html,data/human_readable/goog/2026-06-05_8-K_000119312526259830.md,markdown,,data/processed/goog/cleaned_filings/2026-06-05_8-K_000119312526259830.txt,88964,18741,['html_tables_flattened_to_text'],0.21065824378400252,21.07
Alphabet Inc.,GOOG,0001652044,8-K,2026-06-05,0001652044-26-000059,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000059/goog-20260602.htm,data/raw/goog/2026-06-05_8-K_000165204426000059.html,html,data/human_readable/goog/2026-06-05_8-K_000165204426000059.md,markdown,,data/processed/goog/cleaned_filings/2026-06-05_8-K_000165204426000059.txt,60985,5564,"['large_length_reduction', 'html_tables_flattened_to_text', 'no_section_headings_detected']",0.0912355497253423,9.12
Alphabet Inc.,GOOG,0001652044,8-K,2026-06-04,0001193125-26-257724,https://www.sec.gov/Archives/edgar/data/1652044/000119312526257724/d83560d8k.htm,data/raw/goog/2026-06-04_8-K_000119312526257724.html,html,data/human_readable/goog/2026-06-04_8-K_000119312526257724.md,markdown,,data/processed/goog/cleaned_filings/2026-06-04_8-K_000119312526257724.txt,72058,11934,['html_tables_flattened_to_text'],0.16561658663854117,16.56
Alphabet Inc.,GOOG,0001652044,8-K,2026-05-21,0001193125-26-234488,https://www.sec.gov/Archives/edgar/data/1652044/000119312526234488/d144566d8k.htm,data/raw/goog/2026-05-21_8-K_000119312526234488.html,html,data/human_readable/goog/2026-05-21_8-K_000119312526234488.md,markdown,,data/processed/goog/cleaned_filings/2026-05-21_8-K_000119312526234488.txt,58198,5981,"['large_length_reduction', 'html_tables_flattened_to_text']",0.10276985463417987,10.28
